features_used,loss,accuracy
mfcc+chroma+tonnetz+rms,1.311152458190918,0.6417475938796997
mfcc+chroma+tonnetz+spectral_flux,1.307380437850952,0.6436893343925476
mfcc+chroma+tonnetz+onset,1.276151418685913,0.6475728154182434
mfcc+chroma+tonnetz+tempo,1.308883547782898,0.6436893343925476
mfcc+chroma+tempogram+rms,1.3003135919570925,0.6572815775871277
mfcc+chroma+tempogram+spectral_flux,1.3306913375854492,0.6446601748466492
mfcc+chroma+tempogram+onset,1.353223443031311,0.6378640532493591
mfcc+chroma+tempogram+tempo,1.301150679588318,0.6436893343925476
mfcc+chroma+rms+spectral_flux,1.3678783178329468,0.6029126048088074
mfcc+chroma+rms+onset,1.327526569366455,0.6300970911979675
mfcc+chroma+rms+tempo,1.3258447647094729,0.6417475938796997
mfcc+chroma+spectral_flux+onset,1.3248982429504397,0.6145631074905396
mfcc+chroma+spectral_flux+tempo,1.3286200761795044,0.6339805722236633
mfcc+chroma+onset+tempo,1.2879228591918943,0.6631067991256714
mfcc+mel+contrast+tonnetz,1.1490052938461304,0.7631068229675293
mfcc+mel+contrast+tempogram,1.253495693206787,0.7029126286506653
mfcc+mel+contrast+rms,1.200240135192871,0.7436892986297607
mfcc+mel+contrast+spectral_flux,1.1945152282714844,0.746601939201355
mfcc+mel+contrast+onset,1.2331534624099731,0.7291262149810791
mfcc+mel+contrast+tempo,1.2711151838302612,0.7233009934425354
mfcc+mel+tonnetz+tempogram,1.2272084951400757,0.7320388555526733
mfcc+mel+tonnetz+rms,1.358611226081848,0.6796116232872009
mfcc+mel+tonnetz+spectral_flux,1.458305597305298,0.6165048480033875
mfcc+mel+tonnetz+onset,1.340068221092224,0.670873761177063
mfcc+mel+tonnetz+tempo,1.322074055671692,0.7048543691635132
mfcc+mel+tempogram+rms,1.2445743083953855,0.6980582475662231
mfcc+mel+tempogram+spectral_flux,1.2545716762542725,0.7116504907608032
mfcc+mel+tempogram+onset,1.2679190635681152,0.6990291476249695
mfcc+mel+tempogram+tempo,1.310399293899536,0.6951456069946289
mfcc+mel+rms+spectral_flux,1.4482978582382202,0.6543689370155334
mfcc+mel+rms+onset,1.3417102098464966,0.7077670097351074
mfcc+mel+rms+tempo,1.4953356981277466,0.6320388317108154
mfcc+mel+spectral_flux+onset,1.3797568082809448,0.6650485396385193
mfcc+mel+spectral_flux+tempo,1.4198826551437378,0.6747573018074036
mfcc+mel+onset+tempo,1.3760844469070437,0.6825242638587952
mfcc+contrast+tonnetz+tempogram,1.1869169473648071,0.701941728591919
mfcc+contrast+tonnetz+rms,1.1830193996429443,0.7048543691635132
mfcc+contrast+tonnetz+spectral_flux,1.1823930740356443,0.6834951639175415
mfcc+contrast+tonnetz+onset,1.2504981756210327,0.6320388317108154
mfcc+contrast+tonnetz+tempo,1.181002140045166,0.701941728591919
mfcc+contrast+tempogram+rms,1.290171504020691,0.6417475938796997
mfcc+contrast+tempogram+spectral_flux,1.264146089553833,0.6563106775283813
mfcc+contrast+tempogram+onset,1.2280545234680176,0.6873786449432373
mfcc+contrast+tempogram+tempo,1.2459571361541748,0.6611650586128235
mfcc+contrast+rms+spectral_flux,1.2570314407348633,0.6349514722824097
mfcc+contrast+rms+onset,1.2170590162277222,0.6650485396385193
mfcc+contrast+rms+tempo,1.2258946895599363,0.6737864017486572
mfcc+contrast+spectral_flux+onset,1.2205533981323242,0.662135899066925
mfcc+contrast+spectral_flux+tempo,1.229833960533142,0.6543689370155334
mfcc+contrast+onset+tempo,1.2348947525024414,0.655339777469635
mfcc+tonnetz+tempogram+rms,1.3187435865402222,0.655339777469635
mfcc+tonnetz+tempogram+spectral_flux,1.294663906097412,0.6660194396972656
mfcc+tonnetz+tempogram+onset,1.278767466545105,0.6611650586128235
mfcc+tonnetz+tempogram+tempo,1.267509937286377,0.6699029207229614
mfcc+tonnetz+rms+spectral_flux,1.3495101928710938,0.6000000238418579
mfcc+tonnetz+rms+onset,1.306107997894287,0.6155340075492859
mfcc+tonnetz+rms+tempo,1.3116273880004885,0.6533980369567871
mfcc+tonnetz+spectral_flux+onset,1.3387184143066406,0.5990291237831116
mfcc+tonnetz+spectral_flux+tempo,1.345127820968628,0.6165048480033875
